Adjective,Characteristics,Values,Probs,Probs_base
unhappy,"['Countries', 'Languages']","['Haiti', 'Afrikaans']",-5.746280661215489,-4.4782656350944094
boring,"['Countries', 'Languages']","['Haiti', 'Afrikaans']",-4.845308961537708,-4.4782656350944094
vigilant,"['Countries', 'Languages']","['Haiti', 'Afrikaans']",-5.70103670441829,-4.4782656350944094
jaunty,"['Countries', 'Languages']","['Haiti', 'Afrikaans']",-4.133337070524948,-4.4782656350944094
trusting,"['Countries', 'Languages']","['Haiti', 'Afrikaans']",-6.420884202346073,-4.4782656350944094
favorite,"['Countries', 'Languages']","['Haiti', 'Afrikaans']",-3.544038533553196,-4.4782656350944094
virtuous,"['Countries', 'Languages']","['Haiti', 'Afrikaans']",-6.71014301486625,-4.4782656350944094
honored,"['Countries', 'Languages']","['Haiti', 'Afrikaans']",-5.190385075237842,-4.4782656350944094
euphoric,"['Countries', 'Languages']","['Haiti', 'Afrikaans']",-5.001562104190465,-4.4782656350944094
sorrowful,"['Countries', 'Languages']","['Haiti', 'Uyghur']",-5.336173647088945,-4.4782656350944094
broken,"['Countries', 'Languages']","['Haiti', 'Uyghur']",-5.612571704359474,-4.4782656350944094
unhappy,"['Countries', 'Languages']","['Haiti', 'Uyghur']",-5.746280661215489,-4.4782656350944094
boring,"['Countries', 'Languages']","['Haiti', 'Uyghur']",-4.845308961537708,-4.4782656350944094
vigilant,"['Countries', 'Languages']","['Haiti', 'Uyghur']",-5.70103670441829,-4.4782656350944094
jaunty,"['Countries', 'Languages']","['Haiti', 'Uyghur']",-4.133337070524948,-4.4782656350944094
trusting,"['Countries', 'Languages']","['Haiti', 'Uyghur']",-6.420884202346073,-4.4782656350944094
favorite,"['Countries', 'Languages']","['Haiti', 'Uyghur']",-3.544038533553196,-4.4782656350944094
virtuous,"['Countries', 'Languages']","['Haiti', 'Uyghur']",-6.71014301486625,-4.4782656350944094
honored,"['Countries', 'Languages']","['Haiti', 'Uyghur']",-5.190385075237842,-4.4782656350944094
euphoric,"['Countries', 'Languages']","['Haiti', 'Uyghur']",-5.001562104190465,-4.4782656350944094
sorrowful,"['Countries', 'Languages']","['Haiti', 'Macedonian']",-0.9214600142674159,-0.18194228295422793
broken,"['Countries', 'Languages']","['Haiti', 'Macedonian']",-0.6714653842960902,-0.18194228295422793
unhappy,"['Countries', 'Languages']","['Haiti', 'Macedonian']",-0.5347560052381453,-0.18194228295422793
boring,"['Countries', 'Languages']","['Haiti', 'Macedonian']",-0.37404990537346255,-0.18194228295422793
vigilant,"['Countries', 'Languages']","['Haiti', 'Macedonian']",-0.10743942837682288,-0.18194228295422793
jaunty,"['Countries', 'Languages']","['Haiti', 'Macedonian']",-0.18110441605677607,-0.18194228295422793
trusting,"['Countries', 'Languages']","['Haiti', 'Macedonian']",-0.3257149497590143,-0.18194228295422793
favorite,"['Countries', 'Languages']","['Haiti', 'Macedonian']",-0.09905937192768229,-0.18194228295422793
virtuous,"['Countries', 'Languages']","['Haiti', 'Macedonian']",-0.3947292590439631,-0.18194228295422793
honored,"['Countries', 'Languages']","['Haiti', 'Macedonian']",-0.1539347958267708,-0.18194228295422793
euphoric,"['Countries', 'Languages']","['Haiti', 'Macedonian']",-0.16654058113093484,-0.18194228295422793
sorrowful,"['Countries', 'Languages']","['Haiti', 'Spanish; Castilian']",-5.336173647088945,-4.4782656350944094
broken,"['Countries', 'Languages']","['Haiti', 'Spanish; Castilian']",-5.612571704359474,-4.4782656350944094
unhappy,"['Countries', 'Languages']","['Haiti', 'Spanish; Castilian']",-5.746280661215489,-4.4782656350944094
boring,"['Countries', 'Languages']","['Haiti', 'Spanish; Castilian']",-4.845308961537708,-4.4782656350944094
vigilant,"['Countries', 'Languages']","['Haiti', 'Spanish; Castilian']",-5.70103670441829,-4.4782656350944094
jaunty,"['Countries', 'Languages']","['Haiti', 'Spanish; Castilian']",-4.133337070524948,-4.4782656350944094
trusting,"['Countries', 'Languages']","['Haiti', 'Spanish; Castilian']",-6.420884202346073,-4.4782656350944094
favorite,"['Countries', 'Languages']","['Haiti', 'Spanish; Castilian']",-3.544038533553196,-4.4782656350944094
virtuous,"['Countries', 'Languages']","['Haiti', 'Spanish; Castilian']",-6.71014301486625,-4.4782656350944094
honored,"['Countries', 'Languages']","['Haiti', 'Spanish; Castilian']",-5.190385075237842,-4.4782656350944094
euphoric,"['Countries', 'Languages']","['Haiti', 'Spanish; Castilian']",-5.001562104190465,-4.4782656350944094
sorrowful,"['Countries', 'Languages']","['Haiti', 'Telugu']",-0.23942162886891705,-0.10288007635627355
broken,"['Countries', 'Languages']","['Haiti', 'Telugu']",-0.25035743957587936,-0.10288007635627355
unhappy,"['Countries', 'Languages']","['Haiti', 'Telugu']",-0.18757531350420706,-0.10288007635627355
boring,"['Countries', 'Languages']","['Haiti', 'Telugu']",-0.10064065957858351,-0.10288007635627355
vigilant,"['Countries', 'Languages']","['Haiti', 'Telugu']",-0.05334353075475062,-0.10288007635627355
jaunty,"['Countries', 'Languages']","['Haiti', 'Telugu']",-0.10864512219717166,-0.10288007635627355
trusting,"['Countries', 'Languages']","['Haiti', 'Telugu']",-0.13905618719177962,-0.10288007635627355
favorite,"['Countries', 'Languages']","['Haiti', 'Telugu']",-0.04988221785601235,-0.10288007635627355
virtuous,"['Countries', 'Languages']","['Haiti', 'Telugu']",-0.13968129924088465,-0.10288007635627355
honored,"['Countries', 'Languages']","['Haiti', 'Telugu']",-0.06752098074355561,-0.10288007635627355
euphoric,"['Countries', 'Languages']","['Haiti', 'Telugu']",-0.06878568151136805,-0.10288007635627355
sorrowful,"['Countries', 'Languages']","['Haiti', 'North Ndebele']",-5.336173647088945,-4.4782656350944094
broken,"['Countries', 'Languages']","['Haiti', 'North Ndebele']",-5.612571704359474,-4.4782656350944094
unhappy,"['Countries', 'Languages']","['Haiti', 'North Ndebele']",-5.746280661215489,-4.4782656350944094
boring,"['Countries', 'Languages']","['Haiti', 'North Ndebele']",-4.845308961537708,-4.4782656350944094
vigilant,"['Countries', 'Languages']","['Haiti', 'North Ndebele']",-5.70103670441829,-4.4782656350944094
jaunty,"['Countries', 'Languages']","['Haiti', 'North Ndebele']",-4.133337070524948,-4.4782656350944094
trusting,"['Countries', 'Languages']","['Haiti', 'North Ndebele']",-6.420884202346073,-4.4782656350944094
favorite,"['Countries', 'Languages']","['Haiti', 'North Ndebele']",-3.544038533553196,-4.4782656350944094
virtuous,"['Countries', 'Languages']","['Haiti', 'North Ndebele']",-6.71014301486625,-4.4782656350944094
honored,"['Countries', 'Languages']","['Haiti', 'North Ndebele']",-5.190385075237842,-4.4782656350944094
euphoric,"['Countries', 'Languages']","['Haiti', 'North Ndebele']",-5.001562104190465,-4.4782656350944094
sorrowful,"['Countries', 'Languages']","['Haiti', 'Twi']",-5.336173647088945,-4.4782656350944094
broken,"['Countries', 'Languages']","['Haiti', 'Twi']",-5.612571704359474,-4.4782656350944094
unhappy,"['Countries', 'Languages']","['Haiti', 'Twi']",-5.746280661215489,-4.4782656350944094
boring,"['Countries', 'Languages']","['Haiti', 'Twi']",-4.845308961537708,-4.4782656350944094
vigilant,"['Countries', 'Languages']","['Haiti', 'Twi']",-5.70103670441829,-4.4782656350944094
jaunty,"['Countries', 'Languages']","['Haiti', 'Twi']",-4.133337070524948,-4.4782656350944094
trusting,"['Countries', 'Languages']","['Haiti', 'Twi']",-6.420884202346073,-4.4782656350944094
favorite,"['Countries', 'Languages']","['Haiti', 'Twi']",-3.544038533553196,-4.4782656350944094
virtuous,"['Countries', 'Languages']","['Haiti', 'Twi']",-6.71014301486625,-4.4782656350944094
honored,"['Countries', 'Languages']","['Haiti', 'Twi']",-5.190385075237842,-4.4782656350944094
euphoric,"['Countries', 'Languages']","['Haiti', 'Twi']",-5.001562104190465,-4.4782656350944094
sorrowful,"['Countries', 'Languages']","['Haiti', 'Ndonga']",-5.336173647088945,-4.4782656350944094
broken,"['Countries', 'Languages']","['Haiti', 'Ndonga']",-5.612571704359474,-4.4782656350944094
unhappy,"['Countries', 'Languages']","['Haiti', 'Ndonga']",-5.746280661215489,-4.4782656350944094
boring,"['Countries', 'Languages']","['Haiti', 'Ndonga']",-4.845308961537708,-4.4782656350944094
vigilant,"['Countries', 'Languages']","['Haiti', 'Ndonga']",-5.70103670441829,-4.4782656350944094
jaunty,"['Countries', 'Languages']","['Haiti', 'Ndonga']",-4.133337070524948,-4.4782656350944094
trusting,"['Countries', 'Languages']","['Haiti', 'Ndonga']",-6.420884202346073,-4.4782656350944094
favorite,"['Countries', 'Languages']","['Haiti', 'Ndonga']",-3.544038533553196,-4.4782656350944094
virtuous,"['Countries', 'Languages']","['Haiti', 'Ndonga']",-6.71014301486625,-4.4782656350944094
honored,"['Countries', 'Languages']","['Haiti', 'Ndonga']",-5.190385075237842,-4.4782656350944094
euphoric,"['Countries', 'Languages']","['Haiti', 'Ndonga']",-5.001562104190465,-4.4782656350944094
sorrowful,"['Countries', 'Languages']","['Virgin Islands (US)', 'Tajik']",-11.745122304182143,-10.448470164087789
broken,"['Countries', 'Languages']","['Virgin Islands (US)', 'Tajik']",-12.297121804829263,-10.448470164087789
unhappy,"['Countries', 'Languages']","['Virgin Islands (US)', 'Tajik']",-12.31042607121747,-10.448470164087789
boring,"['Countries', 'Languages']","['Virgin Islands (US)', 'Tajik']",-11.07421193501371,-10.448470164087789
vigilant,"['Countries', 'Languages']","['Virgin Islands (US)', 'Tajik']",-12.346740292388064,-10.448470164087789
jaunty,"['Countries', 'Languages']","['Virgin Islands (US)', 'Tajik']",-9.887354903921747,-10.448470164087789
trusting,"['Countries', 'Languages']","['Virgin Islands (US)', 'Tajik']",-13.915468805195452,-10.448470164087789
favorite,"['Countries', 'Languages']","['Virgin Islands (US)', 'Tajik']",-8.59899325131448,-10.448470164087789
virtuous,"['Countries', 'Languages']","['Virgin Islands (US)', 'Tajik']",-14.194544171599894,-10.448470164087789
honored,"['Countries', 'Languages']","['Virgin Islands (US)', 'Tajik']",-11.390881953442129,-10.448470164087789
euphoric,"['Countries', 'Languages']","['Virgin Islands (US)', 'Tajik']",-11.65292200260113,-10.448470164087789
sorrowful,"['Countries', 'Languages']","['Virgin Islands (US)', 'Breton']",-7.7328027149212755,-6.182048348809136
broken,"['Countries', 'Languages']","['Virgin Islands (US)', 'Breton']",-7.640480408427147,-6.182048348809136
unhappy,"['Countries', 'Languages']","['Virgin Islands (US)', 'Breton']",-7.449513982209191,-6.182048348809136
boring,"['Countries', 'Languages']","['Virgin Islands (US)', 'Breton']",-6.6339869649404415,-6.182048348809136
vigilant,"['Countries', 'Languages']","['Virgin Islands (US)', 'Breton']",-6.807860059266084,-6.182048348809136
jaunty,"['Countries', 'Languages']","['Virgin Islands (US)', 'Breton']",-6.053453178178982,-6.182048348809136
trusting,"['Countries', 'Languages']","['Virgin Islands (US)', 'Breton']",-8.003401114388268,-6.182048348809136
favorite,"['Countries', 'Languages']","['Virgin Islands (US)', 'Breton']",-5.652846537656427,-6.182048348809136
virtuous,"['Countries', 'Languages']","['Virgin Islands (US)', 'Breton']",-7.933608852218086,-6.182048348809136
honored,"['Countries', 'Languages']","['Virgin Islands (US)', 'Breton']",-6.408277060690209,-6.182048348809136
euphoric,"['Countries', 'Languages']","['Virgin Islands (US)', 'Breton']",-6.98809686429802,-6.182048348809136
sorrowful,"['Countries', 'Languages']","['Virgin Islands (US)', 'Welsh']",-6.657197746678455,-6.075064667364626
broken,"['Countries', 'Languages']","['Virgin Islands (US)', 'Welsh']",-6.938068802572058,-6.075064667364626
unhappy,"['Countries', 'Languages']","['Virgin Islands (US)', 'Welsh']",-6.7648197058123,-6.075064667364626
boring,"['Countries', 'Languages']","['Virgin Islands (US)', 'Welsh']",-6.34387091626158,-6.075064667364626
vigilant,"['Countries', 'Languages']","['Virgin Islands (US)', 'Welsh']",-6.7072581798099025,-6.075064667364626
jaunty,"['Countries', 'Languages']","['Virgin Islands (US)', 'Welsh']",-5.872714550360296,-6.075064667364626
trusting,"['Countries', 'Languages']","['Virgin Islands (US)', 'Welsh']",-7.630395709810072,-6.075064667364626
favorite,"['Countries', 'Languages']","['Virgin Islands (US)', 'Welsh']",-5.127264329906938,-6.075064667364626
virtuous,"['Countries', 'Languages']","['Virgin Islands (US)', 'Welsh']",-7.63015201336911,-6.075064667364626
honored,"['Countries', 'Languages']","['Virgin Islands (US)', 'Welsh']",-6.277894251514177,-6.075064667364626
euphoric,"['Countries', 'Languages']","['Virgin Islands (US)', 'Welsh']",-6.739264775670015,-6.075064667364626
sorrowful,"['Countries', 'Languages']","['Virgin Islands (US)', 'Aymara']",-11.745122304182143,-10.448470164087789
broken,"['Countries', 'Languages']","['Virgin Islands (US)', 'Aymara']",-12.297121804829263,-10.448470164087789
unhappy,"['Countries', 'Languages']","['Virgin Islands (US)', 'Aymara']",-12.31042607121747,-10.448470164087789
boring,"['Countries', 'Languages']","['Virgin Islands (US)', 'Aymara']",-11.07421193501371,-10.448470164087789
vigilant,"['Countries', 'Languages']","['Virgin Islands (US)', 'Aymara']",-12.346740292388064,-10.448470164087789
jaunty,"['Countries', 'Languages']","['Virgin Islands (US)', 'Aymara']",-9.887354903921747,-10.448470164087789
trusting,"['Countries', 'Languages']","['Virgin Islands (US)', 'Aymara']",-13.915468805195452,-10.448470164087789
favorite,"['Countries', 'Languages']","['Virgin Islands (US)', 'Aymara']",-8.59899325131448,-10.448470164087789
virtuous,"['Countries', 'Languages']","['Virgin Islands (US)', 'Aymara']",-14.194544171599894,-10.448470164087789
honored,"['Countries', 'Languages']","['Virgin Islands (US)', 'Aymara']",-11.390881953442129,-10.448470164087789
euphoric,"['Countries', 'Languages']","['Virgin Islands (US)', 'Aymara']",-11.65292200260113,-10.448470164087789
sorrowful,"['Countries', 'Languages']","['Virgin Islands (US)', 'Lingala']",-11.745122304182143,-10.448470164087789
broken,"['Countries', 'Languages']","['Virgin Islands (US)', 'Lingala']",-12.297121804829263,-10.448470164087789
unhappy,"['Countries', 'Languages']","['Virgin Islands (US)', 'Lingala']",-12.31042607121747,-10.448470164087789
boring,"['Countries', 'Languages']","['Virgin Islands (US)', 'Lingala']",-11.07421193501371,-10.448470164087789
vigilant,"['Countries', 'Languages']","['Virgin Islands (US)', 'Lingala']",-12.346740292388064,-10.448470164087789
jaunty,"['Countries', 'Languages']","['Virgin Islands (US)', 'Lingala']",-9.887354903921747,-10.448470164087789
trusting,"['Countries', 'Languages']","['Virgin Islands (US)', 'Lingala']",-13.915468805195452,-10.448470164087789
favorite,"['Countries', 'Languages']","['Virgin Islands (US)', 'Lingala']",-8.59899325131448,-10.448470164087789
virtuous,"['Countries', 'Languages']","['Virgin Islands (US)', 'Lingala']",-14.194544171599894,-10.448470164087789
honored,"['Countries', 'Languages']","['Virgin Islands (US)', 'Lingala']",-11.390881953442129,-10.448470164087789
euphoric,"['Countries', 'Languages']","['Virgin Islands (US)', 'Lingala']",-11.65292200260113,-10.448470164087789
sorrowful,"['Countries', 'Languages']","['Virgin Islands (US)', 'Cree']",-11.745122304182143,-10.448470164087789
broken,"['Countries', 'Languages']","['Virgin Islands (US)', 'Cree']",-12.297121804829263,-10.448470164087789
unhappy,"['Countries', 'Languages']","['Virgin Islands (US)', 'Cree']",-12.31042607121747,-10.448470164087789
boring,"['Countries', 'Languages']","['Virgin Islands (US)', 'Cree']",-11.07421193501371,-10.448470164087789
vigilant,"['Countries', 'Languages']","['Virgin Islands (US)', 'Cree']",-12.346740292388064,-10.448470164087789
jaunty,"['Countries', 'Languages']","['Virgin Islands (US)', 'Cree']",-9.887354903921747,-10.448470164087789
trusting,"['Countries', 'Languages']","['Virgin Islands (US)', 'Cree']",-13.915468805195452,-10.448470164087789
favorite,"['Countries', 'Languages']","['Virgin Islands (US)', 'Cree']",-8.59899325131448,-10.448470164087789
virtuous,"['Countries', 'Languages']","['Virgin Islands (US)', 'Cree']",-14.194544171599894,-10.448470164087789
honored,"['Countries', 'Languages']","['Virgin Islands (US)', 'Cree']",-11.390881953442129,-10.448470164087789
euphoric,"['Countries', 'Languages']","['Virgin Islands (US)', 'Cree']",-11.65292200260113,-10.448470164087789
sorrowful,"['Countries', 'Languages']","['Virgin Islands (US)', 'Shona']",-11.745122304182143,-10.448470164087789
broken,"['Countries', 'Languages']","['Virgin Islands (US)', 'Shona']",-12.297121804829263,-10.448470164087789
unhappy,"['Countries', 'Languages']","['Virgin Islands (US)', 'Shona']",-12.31042607121747,-10.448470164087789
